method,seed,round,round_theta_index,theta_per_round,parameter_id,t_lead,delta_T_thr,G_ext,Q_ratio,tau,delay_A,delay_N,score,best_so_far,penalty,final_status,failure_reason,termination_reason,emergency_arrived,emergency_teleport,background_teleported,signal_event_count,stage2_hold_count,stage3_preemption_count,surrogate_mean,surrogate_ci_low,surrogate_ci_high,acquisition,essi_acquisition,essi_1,essi_2,essi_3,essi_4,essi_5,essi_6,essi_max,essi_mean,essi_log_max,dominant_essi_subspace,spatial_activation_score
Random Search,20260607,1,1,1,rs_r01_001_tl48_dt220_ge9_qr22_tau77,48,220,9,0.22,0.77,288.92,87.55,270.61,270.61,0.00,PASS,,recovery_detected,True,False,0,663,1,69,,,,,,,,,,,,,,,,
Random Search,20260607,2,1,1,rs_r02_001_tl30_dt8_ge26_qr51_tau79,30,8,26,0.51,0.79,170.92,83.30,162.95,162.95,0.00,PASS,,recovery_detected,True,False,0,3626,0,19,,,,,,,,,,,,,,,,
Random Search,20260607,3,1,1,rs_r03_001_tl91_dt34_ge11_qr77_tau83,91,34,11,0.77,0.83,113.92,73.61,110.26,110.26,0.00,PASS,,recovery_detected,True,False,0,1607,0,37,,,,,,,,,,,,,,,,
Random Search,20260607,4,1,1,rs_r04_001_tl118_dt71_ge29_qr60_tau90,118,71,29,0.6,0.9,179.92,78.88,170.73,110.26,0.00,PASS,,recovery_detected,True,False,0,743,0,31,,,,,,,,,,,,,,,,
CMA-ES,20260607,1,1,1,cma_r01_001_tl34_dt25_ge1_qr76_tau84,34,25,1,0.76,0.84,158.92,73.97,151.20,151.20,0.00,PASS,,recovery_detected,True,False,0,2599,0,46,,,,,,,,,,,,,,,,
CMA-ES,20260607,2,1,1,cma_r02_001_tl62_dt161_ge20_qr0_tau90,62,161,20,0.0,0.9,495.92,92.10,459.21,151.20,0.00,PASS,,recovery_detected,True,False,0,587,1,69,,,,,,,,,,,,,,,,
CMA-ES,20260607,3,1,1,cma_r03_001_tl37_dt202_ge8_qr64_tau71,37,202,8,0.64,0.71,281.92,90.01,264.47,151.20,0.00,PASS,,recovery_detected,True,False,0,715,0,70,,,,,,,,,,,,,,,,
CMA-ES,20260607,4,1,1,cma_r04_001_tl46_dt177_ge39_qr53_tau72,46,177,39,0.53,0.72,274.92,81.03,257.29,151.20,0.00,PASS,,recovery_detected,True,False,0,245,0,32,,,,,,,,,,,,,,,,
BO,20260607,1,1,1,bo_r01_001_tl50_dt212_ge40_qr62_tau90,50,212,40,0.62,0.9,362.92,83.43,337.51,337.51,0.00,PASS,,recovery_detected,True,False,0,267,0,40,,,,,,,,,,,,,,,,
BO,20260607,2,1,1,bo_r02_001_tl120_dt59_ge19_qr20_tau87,120,59,19,0.2,0.87,195.92,84.11,185.76,185.76,0.00,PASS,,recovery_detected,True,False,0,720,1,41,,,,,,,,,,,,,,,,
BO,20260607,3,1,1,bo_r03_001_tl86_dt201_ge35_qr98_tau86,86,201,35,0.98,0.86,262.92,90.00,247.20,185.76,0.00,PASS,,recovery_detected,True,False,0,340,0,34,261.96,113.24,410.67,5.76,5.76,1.72,1.16,1.41,1.19,5.76,3.06,5.76,2.39,1.75081247,5,0.936200
BO,20260607,4,1,1,bo_r04_001_tl110_dt77_ge45_qr89_tau83,110,77,45,0.89,0.83,232.92,76.42,218.69,185.76,0.00,PASS,,recovery_detected,True,False,0,277,0,29,256.82,134.67,378.98,3.83,3.83,1.25,0.83,0.97,0.82,3.83,2.01,3.83,1.62,1.34183316,5,0.988936
