method,seed,round,parameter_id,t_lead,delta_T_thr,G_ext,Q_ratio,tau,delay_A,delay_N,score,best_so_far,penalty,final_status,failure_reason,termination_reason,emergency_arrived,emergency_teleport,background_teleported,signal_event_count,stage2_hold_count,stage3_preemption_count,surrogate_mean,surrogate_ci_low,surrogate_ci_high,acquisition,essi_max,essi_log_max_ewma,essi_spc_status
Random Search,20260607,1,rs_r01_001_tl48_dt220_ge9_qr22_tau77,48,220,9,0.22,0.77,262.02,93.14,246.67,246.67,0.00,PASS,,recovery_detected,True,False,0,564,1,62,,,,,,,
Random Search,20260607,2,rs_r02_001_tl30_dt8_ge26_qr51_tau79,30,8,26,0.51,0.79,227.02,90.28,214.59,214.59,0.00,PASS,,recovery_detected,True,False,0,4120,0,15,,,,,,,
Random Search,20260607,3,rs_r03_001_tl91_dt34_ge11_qr77_tau83,91,34,11,0.77,0.83,227.02,97.76,215.27,214.59,0.00,PASS,,recovery_detected,True,False,0,2701,0,39,,,,,,,
Random Search,20260607,4,rs_r04_001_tl35_dt116_ge30_qr80_tau87,35,116,30,0.8,0.87,266.02,91.67,250.17,214.59,0.00,PASS,,recovery_detected,True,False,0,856,0,36,,,,,,,
CMA-ES,20260607,1,cma_r01_001_tl32_dt24_ge1_qr76_tau84,32,24,1,0.76,0.84,194.02,92.87,184.82,184.82,0.00,PASS,,recovery_detected,True,False,0,2451,0,51,,,,,,,
CMA-ES,20260607,2,cma_r02_001_tl60_dt154_ge20_qr0_tau90,60,154,20,0.0,0.9,436.02,101.14,405.58,184.82,0.00,PASS,,recovery_detected,True,False,0,606,1,61,,,,,,,
CMA-ES,20260607,3,cma_r03_001_tl35_dt194_ge8_qr64_tau71,35,194,8,0.64,0.71,421.02,102.18,392.03,184.82,0.00,PASS,,recovery_detected,True,False,0,923,0,89,,,,,,,
CMA-ES,20260607,4,cma_r04_001_tl45_dt170_ge39_qr53_tau72,45,170,39,0.53,0.72,354.02,97.36,330.69,184.82,0.00,PASS,,recovery_detected,True,False,0,271,0,36,,,,,,,
BO,20260607,1,bo_init_001_tl50_dt212_ge40_qr62_tau90,50,212,40,0.62,0.9,0.00,90.64,1000008.24,1000008.24,1000000.00,FAIL,emergency_stuck,emergency_stuck,False,False,0,232,0,26,,,,,0.00,-27.63102112,warmup
BO,20260607,2,bo_init_001_tl29_dt79_ge10_qr71_tau82,29,79,10,0.71,0.82,299.02,103.33,281.23,281.23,0.00,PASS,,recovery_detected,True,False,0,1159,0,65,,,,,44684.72,-16.12949871,warmup
BO,20260607,3,bo_r03_001_tl34_dt61_ge4_qr71_tau76,34,61,4,0.71,0.76,349.02,101.49,326.52,281.23,0.00,PASS,,recovery_detected,True,False,0,1649,0,87,487819.67,-491615.43,1467254.76,42784.55,65399.56,-7.96416785,warmup
BO,20260607,4,bo_r04_001_tl29_dt72_ge10_qr67_tau85,29,72,10,0.67,0.85,326.02,98.35,305.32,281.23,0.00,PASS,,recovery_detected,True,False,0,1324,0,69,332953.09,-590725.65,1256631.84,65538.02,95843.38,-2.13377630,warmup
