tls_id,profile_role,source,source_itst_id,source_eqmn_id,source_tls_id,movement_ids,mapped_segments,route_order_min,cycle_sec,main_green_sec,side_green_sec,yellow_sec,offset_sec,confidence,dominant_api_field,dominant_remaining_sec,inference_reason,status,before_cycle_sec,after_cycle_sec,phase_count,main_phase_indices,yellow_phase_count
CSV_TLS_S19_S20_SEVERANCE_BUILDING,mainroad_direct,TData_SPAT_sample_direct_order_mapping,151,CIB1000023900,CSV_TLS_S19_S20_SEVERANCE_BUILDING,B4_MOVEMENT_15,S19:upbound,58.0,90,78,6,3,73,0.8,stLtsgRmdrCs,71.1,mainroad TLS receives an API-derived profile by route-order assignment,APPLIED,72.0,90,4,0,2
CSV_TLS_S18_S19_SAMSEON_BUILDING,mainroad_direct,TData_SPAT_sample_direct_order_mapping,795,CIB1031079500,CSV_TLS_S18_S19_SAMSEON_BUILDING,B4_MOVEMENT_14,S18:upbound,55.0,95,80,9,3,55,0.8,wtLtsgRmdrCs,81.9,mainroad TLS receives an API-derived profile by route-order assignment,APPLIED,72.0,95,1,0,0
CSV_TLS_S17_S18_NAMDAEMUN_MARKET,mainroad_direct,TData_SPAT_sample_direct_order_mapping,1865,CIB1000019500,CSV_TLS_S17_S18_NAMDAEMUN_MARKET,B4_MOVEMENT_13,S17:upbound,53.0,100,80,14,3,32,0.8,ntStsgRmdrCs,83.3,mainroad TLS receives an API-derived profile by route-order assignment,APPLIED,72.0,100,4,0,2
CSV_TLS_S16_S17_SHINSEGAE_DEPARTMENT_STORE,mainroad_direct,TData_SPAT_sample_direct_order_mapping,2086,CIB1021208600,CSV_TLS_S16_S17_SHINSEGAE_DEPARTMENT_STORE,B4_MOVEMENT_12,S16:upbound,52.0,100,80,14,3,31,0.8,etStsgRmdrCs,87.4,mainroad TLS receives an API-derived profile by route-order assignment,APPLIED,72.0,100,4,0,2
CSV_TLS_S14_S15_DAYS_HOTEL_FRONT,mainroad_direct,TData_SPAT_sample_direct_order_mapping,2095,CIB1021209500,CSV_TLS_S14_S15_DAYS_HOTEL_FRONT,B4_MOVEMENT_10,S14:upbound,48.0,100,80,14,3,27,0.8,stLtsgRmdrCs,101.6,mainroad TLS receives an API-derived profile by route-order assignment,APPLIED,72.0,100,1,0,0
CSV_TLS_S13_S14_MYEONGDONG_STATION_FRONT,mainroad_direct,TData_SPAT_sample_direct_order_mapping,2090,CIB1021209000,CSV_TLS_S13_S14_MYEONGDONG_STATION_FRONT,B4_MOVEMENT_09,S13:upbound,45.0,100,80,14,3,13,0.8,neLtsgRmdrCs,102.0,mainroad TLS receives an API-derived profile by route-order assignment,APPLIED,72.0,100,4,0,2
CSV_TLS_S11_S12_TOEGYE_RO_2_GA,mainroad_direct,TData_SPAT_sample_direct_order_mapping,3124,CIB1031312400,CSV_TLS_S11_S12_TOEGYE_RO_2_GA,B4_MOVEMENT_08,S11:upbound,42.0,125,85,34,3,58,0.8,ntLtsgRmdrCs,111.4,mainroad TLS receives an API-derived profile by route-order assignment,APPLIED,72.0,125,1,0,0
CSV_TLS_S08_S09_TOEGYE_RO_4_GA,mainroad_direct,TData_SPAT_sample_direct_order_mapping,2878,CIB1010020900,CSV_TLS_S08_S09_TOEGYE_RO_4_GA,B4_MOVEMENT_05,S7:upbound,28.0,130,90,34,3,117,0.8,ntStsgRmdrCs,116.1,mainroad TLS receives an API-derived profile by route-order assignment,APPLIED,72.0,130,4,0,2
CSV_TLS_S05_S06_GWANGHUI_INTERSECTION,mainroad_direct,TData_SPAT_sample_direct_order_mapping,1899,CIB1021189900,CSV_TLS_S05_S06_GWANGHUI_INTERSECTION,B4_MOVEMENT_03,S5:upbound,16.0,105,70,29,3,58,0.835,ntLtsgRmdrCs,88.2,mainroad TLS receives an API-derived profile by route-order assignment,APPLIED,72.0,105,4,0,2
CSV_TLS_S02_S03_HANYANG_TECHNICAL_HIGH_SCHOOL_FRONT,mainroad_direct,TData_SPAT_sample_direct_order_mapping,1812,CIB1000019400,CSV_TLS_S02_S03_HANYANG_TECHNICAL_HIGH_SCHOOL_FRONT,B4_MOVEMENT_01,S2:upbound,10.0,130,110,14,3,76,0.87,ntLtsgRmdrCs,159.1,mainroad TLS receives an API-derived profile by route-order assignment,APPLIED,72.0,130,4,0,2
