tls_id,profile_role,source,source_itst_id,source_eqmn_id,source_tls_id,movement_ids,mapped_segments,route_order_min,cycle_sec,main_green_sec,side_green_sec,yellow_sec,offset_sec,confidence,dominant_api_field,dominant_remaining_sec,inference_reason
CSV_TLS_S01_S02_SEONGDONG_GLOBAL_BUSINESS_HIGH_SCHOOL,mainroad_direct,TData_SPAT_sample_direct_order_mapping,2639,CIB1031263900,CSV_TLS_S01_S02_SEONGDONG_GLOBAL_BUSINESS_HIGH_SCHOOL,B4_MOVEMENT_00,S1:upbound,6.0,130,105,19,3,50,0.87,etLtsgRmdrCs,152.7,mainroad TLS receives an API-derived profile by route-order assignment
CSV_TLS_S02_S03_HANYANG_TECHNICAL_HIGH_SCHOOL_FRONT,mainroad_direct,TData_SPAT_sample_direct_order_mapping,1812,CIB1000019400,CSV_TLS_S02_S03_HANYANG_TECHNICAL_HIGH_SCHOOL_FRONT,B4_MOVEMENT_01,S2:upbound,10.0,130,110,14,3,76,0.87,ntLtsgRmdrCs,159.1,mainroad TLS receives an API-derived profile by route-order assignment
cluster_3846534041_436877431,mainroad_direct,TData_SPAT_sample_direct_order_mapping,1820,CIB1000020200,cluster_3846534041_436877431,B4_MOVEMENT_02,S3:upbound,12.0,130,95,29,3,61,0.835,etLtsgRmdrCs,134.7,mainroad TLS receives an API-derived profile by route-order assignment
CSV_TLS_S05_S06_GWANGHUI_INTERSECTION,mainroad_direct,TData_SPAT_sample_direct_order_mapping,1899,CIB1021189900,CSV_TLS_S05_S06_GWANGHUI_INTERSECTION,B4_MOVEMENT_03,S5:upbound,16.0,105,70,29,3,58,0.835,ntLtsgRmdrCs,88.2,mainroad TLS receives an API-derived profile by route-order assignment
joinedS_7335400058_cluster_13348213189_13348213190_13348213191_4273893706_#1more,mainroad_direct,TData_SPAT_sample_direct_order_mapping,2060,CIB1021206000,joinedS_7335400058_cluster_13348213189_13348213190_13348213191_4273893706_#1more,B4_MOVEMENT_04,S6:upbound,23.0,130,90,34,3,103,0.8,swLtsgRmdrCs,125.6,mainroad TLS receives an API-derived profile by route-order assignment
CSV_TLS_S08_S09_TOEGYE_RO_4_GA,mainroad_direct,TData_SPAT_sample_direct_order_mapping,2878,CIB1010020900,CSV_TLS_S08_S09_TOEGYE_RO_4_GA,B4_MOVEMENT_05,S7:upbound,28.0,130,90,34,3,117,0.8,ntStsgRmdrCs,116.1,mainroad TLS receives an API-derived profile by route-order assignment
joinedS_11346754524_11346754527_7335400049_cluster_11346754525_11346754526_2784736947_414685366_#2more,mainroad_direct,TData_SPAT_sample_direct_order_mapping,2884,CIB1010020500,joinedS_11346754524_11346754527_7335400049_cluster_11346754525_11346754526_2784736947_414685366_#2more,B4_MOVEMENT_06 B4_MOVEMENT_07,S9:upbound,35.0,130,90,34,3,18,0.8,swUtsgRmdrCs,113.9,mainroad TLS receives an API-derived profile by route-order assignment
CSV_TLS_S11_S12_TOEGYE_RO_2_GA,mainroad_direct,TData_SPAT_sample_direct_order_mapping,3124,CIB1031312400,CSV_TLS_S11_S12_TOEGYE_RO_2_GA,B4_MOVEMENT_08,S11:upbound,42.0,125,85,34,3,58,0.8,ntLtsgRmdrCs,111.4,mainroad TLS receives an API-derived profile by route-order assignment
CSV_TLS_S13_S14_MYEONGDONG_STATION_FRONT,mainroad_direct,TData_SPAT_sample_direct_order_mapping,2090,CIB1021209000,CSV_TLS_S13_S14_MYEONGDONG_STATION_FRONT,B4_MOVEMENT_09,S13:upbound,45.0,100,80,14,3,13,0.8,neLtsgRmdrCs,102.0,mainroad TLS receives an API-derived profile by route-order assignment
CSV_TLS_S14_S15_DAYS_HOTEL_FRONT,mainroad_direct,TData_SPAT_sample_direct_order_mapping,2095,CIB1021209500,CSV_TLS_S14_S15_DAYS_HOTEL_FRONT,B4_MOVEMENT_10,S14:upbound,48.0,100,80,14,3,27,0.8,stLtsgRmdrCs,101.6,mainroad TLS receives an API-derived profile by route-order assignment
joinedS_11203052957_cluster_11203052955_11203052956_11203052960_11203052961_#11more,mainroad_direct,TData_SPAT_sample_direct_order_mapping,2613,CIB1031261300,joinedS_11203052957_cluster_11203052955_11203052956_11203052960_11203052961_#11more,B4_MOVEMENT_11,S15:upbound,50.0,100,80,14,3,35,0.8,seLtsgRmdrCs,100.6,mainroad TLS receives an API-derived profile by route-order assignment
CSV_TLS_S16_S17_SHINSEGAE_DEPARTMENT_STORE,mainroad_direct,TData_SPAT_sample_direct_order_mapping,2086,CIB1021208600,CSV_TLS_S16_S17_SHINSEGAE_DEPARTMENT_STORE,B4_MOVEMENT_12,S16:upbound,52.0,100,80,14,3,31,0.8,etStsgRmdrCs,87.4,mainroad TLS receives an API-derived profile by route-order assignment
CSV_TLS_S17_S18_NAMDAEMUN_MARKET,mainroad_direct,TData_SPAT_sample_direct_order_mapping,1865,CIB1000019500,CSV_TLS_S17_S18_NAMDAEMUN_MARKET,B4_MOVEMENT_13,S17:upbound,53.0,100,80,14,3,32,0.8,ntStsgRmdrCs,83.3,mainroad TLS receives an API-derived profile by route-order assignment
CSV_TLS_S18_S19_SAMSEON_BUILDING,mainroad_direct,TData_SPAT_sample_direct_order_mapping,795,CIB1031079500,CSV_TLS_S18_S19_SAMSEON_BUILDING,B4_MOVEMENT_14,S18:upbound,55.0,95,80,9,3,55,0.8,wtLtsgRmdrCs,81.9,mainroad TLS receives an API-derived profile by route-order assignment
CSV_TLS_S19_S20_SEVERANCE_BUILDING,mainroad_direct,TData_SPAT_sample_direct_order_mapping,151,CIB1000023900,CSV_TLS_S19_S20_SEVERANCE_BUILDING,B4_MOVEMENT_15,S19:upbound,58.0,90,78,6,3,73,0.8,stLtsgRmdrCs,71.1,mainroad TLS receives an API-derived profile by route-order assignment
joinedS_11139302899_11139302904_11178710208_cluster_11139302901_4704751520_5593950663_5593950669_#1more_#1more,mainroad_direct,TData_SPAT_sample_direct_order_mapping,1839,CIB1000017200,joinedS_11139302899_11139302904_11178710208_cluster_11139302901_4704751520_5593950663_5593950669_#1more_#1more,B4_MOVEMENT_16,S21:upbound,59.0,90,78,6,3,73,0.8,etStsgRmdrCs,65.7,mainroad TLS receives an API-derived profile by route-order assignment
