row_type,slice_parameter,slice_value,parameter_id,t_lead,delta_T_thr,G_ext,Q_ratio,tau,observed_score,gp_mean,gp_ci_low,gp_ci_high,is_best_observed,note
gp_slice,t_lead,0.00,gp_slice_t_lead_001,0,26,40,0.93,0.77,,245.18,196.58,293.78,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,1.00,gp_slice_t_lead_002,1,26,40,0.93,0.77,,245.11,197.34,292.87,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,1.00,gp_slice_t_lead_003,1,26,40,0.93,0.77,,245.11,197.34,292.87,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,2.00,gp_slice_t_lead_004,2,26,40,0.93,0.77,,245.04,198.11,291.96,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,3.00,gp_slice_t_lead_005,3,26,40,0.93,0.77,,244.97,198.88,291.06,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,4.00,gp_slice_t_lead_006,4,26,40,0.93,0.77,,244.90,199.65,290.15,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,4.00,gp_slice_t_lead_007,4,26,40,0.93,0.77,,244.90,199.65,290.15,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,5.00,gp_slice_t_lead_008,5,26,40,0.93,0.77,,244.84,200.43,289.25,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,6.00,gp_slice_t_lead_009,6,26,40,0.93,0.77,,244.78,201.21,288.34,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,6.00,gp_slice_t_lead_010,6,26,40,0.93,0.77,,244.78,201.21,288.34,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,7.00,gp_slice_t_lead_011,7,26,40,0.93,0.77,,244.72,202.00,287.44,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,8.00,gp_slice_t_lead_012,8,26,40,0.93,0.77,,244.67,202.80,286.54,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,8.00,gp_slice_t_lead_013,8,26,40,0.93,0.77,,244.67,202.80,286.54,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,9.00,gp_slice_t_lead_014,9,26,40,0.93,0.77,,244.62,203.60,285.64,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,10.00,gp_slice_t_lead_015,10,26,40,0.93,0.77,,244.57,204.40,284.74,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,11.00,gp_slice_t_lead_016,11,26,40,0.93,0.77,,244.52,205.21,283.84,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,11.00,gp_slice_t_lead_017,11,26,40,0.93,0.77,,244.52,205.21,283.84,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,12.00,gp_slice_t_lead_018,12,26,40,0.93,0.77,,244.48,206.02,282.94,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,13.00,gp_slice_t_lead_019,13,26,40,0.93,0.77,,244.44,206.84,282.04,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,13.00,gp_slice_t_lead_020,13,26,40,0.93,0.77,,244.44,206.84,282.04,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,14.00,gp_slice_t_lead_021,14,26,40,0.93,0.77,,244.41,207.66,281.15,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,15.00,gp_slice_t_lead_022,15,26,40,0.93,0.77,,244.37,208.49,280.26,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,15.00,gp_slice_t_lead_023,15,26,40,0.93,0.77,,244.37,208.49,280.26,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,16.00,gp_slice_t_lead_024,16,26,40,0.93,0.77,,244.34,209.32,279.36,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,17.00,gp_slice_t_lead_025,17,26,40,0.93,0.77,,244.32,210.16,278.47,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,18.00,gp_slice_t_lead_026,18,26,40,0.93,0.77,,244.29,211.00,277.59,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,18.00,gp_slice_t_lead_027,18,26,40,0.93,0.77,,244.29,211.00,277.59,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,19.00,gp_slice_t_lead_028,19,26,40,0.93,0.77,,244.27,211.84,276.70,False,GP estimate only; objective was not re-evaluated on this slice.
