tls_id,profile_role,source,source_itst_id,source_eqmn_id,source_tls_id,movement_ids,mapped_segments,route_order_min,cycle_sec,main_green_sec,side_green_sec,yellow_sec,offset_sec,confidence,dominant_api_field,dominant_remaining_sec,inference_reason,status,before_cycle_sec,after_cycle_sec,phase_count,main_phase_indices,yellow_phase_count
CSV_TLS_S01_START_SINDANG_STATION,location_matched_mainroad,A008_location_matched_TData_SPAT,148,CIB1130003600,CSV_TLS_S01_START_SINDANG_STATION,,,16.0,85,55,24,3,10,0.701,swStsgRmdrCs,75.16,location matched by A008 distance/name; timing_fields=5.0; state_fields=0; match_status=auto_confirmed_distance,APPLIED,85.0,85,4,0,2
CSV_TLS_S21_S22_SEOUL_SQUARE_FRONT,location_matched_mainroad,A008_location_matched_TData_measured_route_family_fallback,5921,,CSV_TLS_S21_S22_SEOUL_SQUARE_FRONT,,,59.0,80,62,12,3,43,0.55,,0.0,no direct API timing hit; used direct T-Data profile average route-family timing,APPLIED,80.0,80,3,0,1
CSV_TLS_S19_S20_SEVERANCE_BUILDING,location_matched_mainroad,A008_location_matched_TData_SPAT,858,CIB1070033600,CSV_TLS_S19_S20_SEVERANCE_BUILDING,B4_MOVEMENT_15,S19:upbound,58.0,100,75,19,3,6,0.826,nwLtsgRmdrCs,111.983,location matched by A008 distance/name; timing_fields=7.0; state_fields=0; match_status=auto_confirmed_distance,APPLIED,100.0,100,3,0,1
CSV_TLS_S18_S19_SAMSEON_BUILDING,location_matched_mainroad,A008_location_matched_TData_measured_route_family_fallback,6086,,CSV_TLS_S18_S19_SAMSEON_BUILDING,B4_MOVEMENT_14,S18:upbound,55.0,85,54,25,3,64,0.55,,0.0,no direct API timing hit; used direct T-Data profile average route-family timing,APPLIED,100.0,85,3,0,1
CSV_TLS_S17_S18_NAMDAEMUN_MARKET,location_matched_mainroad,A008_location_matched_TData_measured_route_family_fallback,5263,,CSV_TLS_S17_S18_NAMDAEMUN_MARKET,B4_MOVEMENT_13,S17:upbound,53.0,100,70,24,3,84,0.55,,0.0,no direct API timing hit; used direct T-Data profile average route-family timing,APPLIED,85.0,100,3,0,1
CSV_TLS_S16_S17_SHINSEGAE_DEPARTMENT_STORE,location_matched_mainroad,A008_location_matched_TData_measured_route_family_fallback,1105,,CSV_TLS_S16_S17_SHINSEGAE_DEPARTMENT_STORE,B4_MOVEMENT_12,S16:upbound,52.0,95,65,24,3,49,0.55,,0.0,no direct API timing hit; used direct T-Data profile average route-family timing,APPLIED,100.0,95,3,0,1
CSV_TLS_S14_S15_DAYS_HOTEL_FRONT,location_matched_mainroad,A008_location_matched_TData_measured_route_family_fallback,7760,,CSV_TLS_S14_S15_DAYS_HOTEL_FRONT,B4_MOVEMENT_10,S14:upbound,48.0,100,70,24,3,40,0.55,,0.0,no direct API timing hit; used direct T-Data profile average route-family timing,APPLIED,95.0,100,3,0,1
CSV_TLS_S13_S14_MYEONGDONG_STATION_FRONT,location_matched_mainroad,A008_location_matched_TData_measured_route_family_fallback,6481,,CSV_TLS_S13_S14_MYEONGDONG_STATION_FRONT,B4_MOVEMENT_09,S13:upbound,45.0,85,54,25,3,16,0.55,,0.0,no direct API timing hit; used direct T-Data profile average route-family timing,APPLIED,100.0,85,3,0,1
CSV_TLS_S11_S12_TOEGYE_RO_2_GA,location_matched_mainroad,A008_location_matched_TData_SPAT,648,CIB1070033700,CSV_TLS_S11_S12_TOEGYE_RO_2_GA,B4_MOVEMENT_08,S11:upbound,42.0,85,55,24,3,47,0.642,neBssgRmdrCs,65.491,location matched by A008 distance/name; timing_fields=3.0; state_fields=0; match_status=auto_confirmed_distance,APPLIED_SINGLE_PHASE_REPAIRED,85.0,85,4,0,1
CSV_TLS_S08_S09_TOEGYE_RO_4_GA,location_matched_mainroad,A008_location_matched_TData_measured_route_family_fallback,624,,CSV_TLS_S08_S09_TOEGYE_RO_4_GA,B4_MOVEMENT_05,S7:upbound,28.0,100,70,24,3,34,0.55,,0.0,no direct API timing hit; used direct T-Data profile average route-family timing,APPLIED,100.0,100,4,0,2
CSV_TLS_S05_S06_GWANGHUI_INTERSECTION,location_matched_mainroad,A008_location_matched_TData_measured_route_family_fallback,647,,CSV_TLS_S05_S06_GWANGHUI_INTERSECTION,B4_MOVEMENT_03,S5:upbound,16.0,90,59,25,3,76,0.55,,0.0,no direct API timing hit; used direct T-Data profile average route-family timing,APPLIED,80.0,90,4,0,2
CSV_TLS_S03_S04_TOYOKO_INN_HOTEL_FRONT,location_matched_mainroad,A008_location_matched_TData_measured_route_family_fallback,6813,,CSV_TLS_S03_S04_TOYOKO_INN_HOTEL_FRONT,,,12.0,95,65,24,3,57,0.55,,0.0,no direct API timing hit; used direct T-Data profile average route-family timing,APPLIED,80.0,95,3,0,1
CSV_TLS_S02_S03_HANYANG_TECHNICAL_HIGH_SCHOOL_FRONT,location_matched_mainroad,A008_location_matched_TData_measured_route_family_fallback,92,,CSV_TLS_S02_S03_HANYANG_TECHNICAL_HIGH_SCHOOL_FRONT,B4_MOVEMENT_01,S2:upbound,10.0,85,54,25,3,48,0.55,,0.0,no direct API timing hit; used direct T-Data profile average route-family timing,APPLIED,90.0,85,3,0,1
CSV_TLS_S01_S02_SEONGDONG_GLOBAL_BUSINESS_HIGH_SCHOOL,location_matched_mainroad,A008_location_matched_TData_measured_route_family_fallback,7789,,CSV_TLS_S01_S02_SEONGDONG_GLOBAL_BUSINESS_HIGH_SCHOOL,B4_MOVEMENT_00,S1:upbound,6.0,90,59,25,3,28,0.55,,0.0,no direct API timing hit; used direct T-Data profile average route-family timing,APPLIED,90.0,90,3,0,1
joinedS_11139302899_11139302904_11178710208_cluster_11139302901_4704751520_5593950663_5593950669_#1more_#1more,location_matched_mainroad,A008_location_matched_TData_measured_route_family_fallback,475,,joinedS_11139302899_11139302904_11178710208_cluster_11139302901_4704751520_5593950663_5593950669_#1more_#1more,B4_MOVEMENT_16,S21:upbound,17.0,95,65,24,3,1,0.55,,0.0,no direct API timing hit; used direct T-Data profile average route-family timing,APPLIED,80.0,95,16,2,8
joinedS_11203052957_cluster_11203052955_11203052956_11203052960_11203052961_#11more,location_matched_mainroad,A008_location_matched_TData_measured_route_family_fallback,122,,joinedS_11203052957_cluster_11203052955_11203052956_11203052960_11203052961_#11more,B4_MOVEMENT_11,S15:upbound,50.0,85,54,25,3,70,0.55,,0.0,no direct API timing hit; used direct T-Data profile average route-family timing,APPLIED,85.0,85,11,4,5
joinedS_11346754524_11346754527_7335400049_cluster_11346754525_11346754526_2784736947_414685366_#2more,location_matched_mainroad,A008_location_matched_TData_measured_route_family_fallback,649,,joinedS_11346754524_11346754527_7335400049_cluster_11346754525_11346754526_2784736947_414685366_#2more,B4_MOVEMENT_06 B4_MOVEMENT_07,S9:upbound,37.0,95,65,24,3,77,0.55,,0.0,no direct API timing hit; used direct T-Data profile average route-family timing,APPLIED,100.0,95,10,2 8,5
joinedS_7335400058_cluster_13348213189_13348213190_13348213191_4273893706_#1more,location_matched_mainroad,A008_location_matched_TData_measured_route_family_fallback,612,,joinedS_7335400058_cluster_13348213189_13348213190_13348213191_4273893706_#1more,B4_MOVEMENT_04,S6:upbound,23.0,100,70,24,3,15,0.55,,0.0,no direct API timing hit; used direct T-Data profile average route-family timing,APPLIED,95.0,100,4,0,2
